name;alternate_url;id;from;to;employer_name;schedule;employment;experience;key_skills
Frontend – программист / Разработчик ASP. NET;https://hh.ru/vacancy/31338077;31338077;172000;172000;Монолит-Инфо;Полный день;Полная занятость;От 3 до 6 лет;[]
Начинающий менеджер проектов;https://hh.ru/vacancy/31647103;31647103;23000;69000;DeliveryWEB;Гибкий график;Полная занятость;Нет опыта;[]
PR менеджер / копирайтер;https://hh.ru/vacancy/30274059;30274059;0;90000;Коник;Полный день;Полная занятость;Нет опыта;[]
Guest Services Agent/Ночной аудитор;https://hh.ru/vacancy/31642926;31642926;32000;35000;Hilton Hotels;Сменный график;Полная занятость;От 1 года до 3 лет;[]
Заведующий производством (столовая);https://hh.ru/vacancy/31645528;31645528;0;40000;Красный октябрь;Полный день;Полная занятость;Более 6 лет;[]
Главный бухгалтер;https://hh.ru/vacancy/31471348;31471348;90000;90000;Синтрол;Полный день;Полная занятость;Более 6 лет;[{'name': 'Бухгалтерская отчетность'}, {'name': 'Налоговая отчетность'}, {'name': 'Основные средства'}, {'name': 'Расчет заработной платы'}, {'name': 'Годовой баланс'}, {'name': 'Российские стандарты бухгалтерского учета'}, {'name': 'Отчет о прибылях и убытках'}, {'name': 'прохождение налоговых проверок'}, {'name': 'Отчетность в ПФР'}, {'name': 'Отчетность в ФСС'}, {'name': 'Расчет НДС'}, {'name': '1С: Предприятие 8'}, {'name': 'ТМЦ'}, {'name': 'Бухгалтерский учет'}, {'name': '1С: Бухгалтерия'}, {'name': '1C: Бухгалтерия'}, {'name': 'Консультант плюс'}, {'name': 'Авансовые отчеты'}, {'name': 'Расчет налогов'}, {'name': '1С: Зарплата и управление персоналом'}, {'name': '1С: Зарплата и кадры'}]
"Продавец-кассир (м. Беговая, ТРК ""Меркурий"")";https://hh.ru/vacancy/30386047;30386047;30000;30000;FUNDAY;Гибкий график;Полная занятость;Нет опыта;[]
Экономист по финансовой работе;https://hh.ru/vacancy/31534022;31534022;0;52000;СТК CENTER, ДЦ;Полный день;Полная занятость;От 1 года до 3 лет;[]
Водитель-курьер в службу доставки интернет магазина;https://hh.ru/vacancy/31053427;31053427;46000;46000;Lamoda;Сменный график;Полная занятость;Нет опыта;[]
Java Developer (Educational Tools);https://hh.ru/vacancy/26412575;26412575;184000;184000;JetBrains;Полный день;Полная занятость;От 3 до 6 лет;[]
Сервисный инженер в области металлообрабатывающего оборудования;https://hh.ru/vacancy/31030321;31030321;70000;70000;Intratool;Полный день;Полная занятость;От 3 до 6 лет;[]
Работник торгового зала (Парголово/ Выборгское ш);https://hh.ru/vacancy/31645778;31645778;0;38000;Мэдисон Авеню;Сменный график;Полная занятость;Нет опыта;[]
Финансовый специалист (банк-клиент, платежи);https://hh.ru/vacancy/30389322;30389322;57000;63000;АБЗ-Дорстрой;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'MS Excel'}, {'name': 'MS Word'}, {'name': '1C: Финансы'}, {'name': '1C: Бухгалтерия'}, {'name': '1С: Предприятие 8'}, {'name': 'Финансовый контроль'}, {'name': 'Бюджетирование'}, {'name': 'Финансовая отчетность'}, {'name': 'Финансовый анализ'}, {'name': 'БДДС'}]
Финансовый менеджер проекта;https://hh.ru/vacancy/31465580;31465580;69000;69000;АБЗ-Дорстрой;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'MS Excel'}, {'name': 'MS Word'}, {'name': '1C: Финансы'}, {'name': '1C: Бухгалтерия'}, {'name': '1С: Предприятие 8'}, {'name': 'Финансовый контроль'}, {'name': 'Бюджетирование'}, {'name': 'Финансовая отчетность'}, {'name': 'Финансовый анализ'}]
Ассистент отдела автосервиса;https://hh.ru/vacancy/31209038;31209038;46000;46000;Элан-Моторс СПб;Сменный график;Полная занятость;От 1 года до 3 лет;[]
Официант на круизный лайнер;https://hh.ru/vacancy/31468355;31468355;86000;138000;ИСМИРА;Вахтовый метод;Полная занятость;От 1 года до 3 лет;[{'name': 'Английский язык'}, {'name': 'Сервировка'}, {'name': 'Круизы'}, {'name': 'Работа в команде'}]
Повар;https://hh.ru/vacancy/31298328;31298328;57000;80000;Сити Гриль Экспресс;Сменный график;Полная занятость;От 1 года до 3 лет;[]
MS SQL Developer;https://hh.ru/vacancy/31252237;31252237;115000;115000;Devim;Полный день;Полная занятость;От 1 года до 3 лет;[]
Водитель такси;https://hh.ru/vacancy/30936458;30936458;63000;80000;Мастер Экспресс;Гибкий график;Полная занятость;От 1 года до 3 лет;[]
Ассистент менеджера по подбору персонала;https://hh.ru/vacancy/29833894;29833894;0;28000;Kelly Services;Полный день;Полная занятость;Нет опыта;[]
Администратор на ресепшен в стоматологию;https://hh.ru/vacancy/31468202;31468202;32000;32000;Стоматология Питер;Сменный график;Полная занятость;Нет опыта;[]
Бухгалтер на участок банк-клиент;https://hh.ru/vacancy/31335444;31335444;40000;52000;ТЛЦ;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Пользователь ПК'}, {'name': '1С: Предприятие 8'}, {'name': 'Грамотность'}, {'name': 'MS Excel'}, {'name': 'Учет банковских операций по лицевому счету'}, {'name': 'Операции в рублях'}]
Управляющий АЗС (п. Шушары);https://hh.ru/vacancy/30881227;30881227;40000;52000;Газпром нефть;Полный день;Полная занятость;От 1 года до 3 лет;[]
Управляющий АЗС (м. Купчино);https://hh.ru/vacancy/31118886;31118886;46000;46000;Газпром нефть;Полный день;Полная занятость;От 1 года до 3 лет;[]
Старший бухгалтер;https://hh.ru/vacancy/31337748;31337748;80000;80000;Гестион;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'Бухгалтерская отчетность'}, {'name': 'Налоговая отчетность'}, {'name': 'Первичная документация'}, {'name': 'Расчет заработной платы'}, {'name': 'Годовой баланс'}, {'name': 'Российские стандарты бухгалтерского учета'}, {'name': 'Отчетность в ПФР'}, {'name': 'Отчетность в ФСС'}, {'name': 'Расчет НДС'}, {'name': 'Бухгалтерский учет'}, {'name': 'Кадровое делопроизводство'}, {'name': '1C: Бухгалтерия'}, {'name': '1С: Предприятие 8'}, {'name': 'Первичная бухгалтерская документация'}]
Разработчик приложений;https://hh.ru/vacancy/30090474;30090474;85000;85000;Максидом;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Базы данных'}, {'name': 'SQL'}, {'name': 'Unix'}, {'name': 'СУБД'}, {'name': 'C++'}]
Ведущий инженер-программист;https://hh.ru/vacancy/19094169;19094169;55000;55000;ПетербургГаз;Полный день;Полная занятость;От 1 года до 3 лет;[]
Бариста в сеть кофеен Starbucks (ТК Питерлэнд);https://hh.ru/vacancy/31646472;31646472;26000;29000;МОНЭКС ТРЕЙДИНГ;Полный день;Полная занятость;Нет опыта;[]
Frontend-разработчик;https://hh.ru/vacancy/31313073;31313073;172000;172000;E-Contenta;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'REST'}, {'name': 'GraphQL'}, {'name': 'ES6'}, {'name': 'React'}, {'name': 'Git'}]
Бариста в сеть кофеен Starbucks (м. Дыбенко, МЕГА Дыбенко);https://hh.ru/vacancy/31646346;31646346;28000;28000;МОНЭКС ТРЕЙДИНГ;Гибкий график;Полная занятость;Нет опыта;[]
Бариста в сеть кофеен Starbucks (ТЦ Охта Молл);https://hh.ru/vacancy/31646242;31646242;28000;28000;МОНЭКС ТРЕЙДИНГ;Гибкий график;Полная занятость;Нет опыта;[]
Менеджер по организации грузоперевозок / Логист;https://hh.ru/vacancy/30831045;30831045;40000;40000;Группа компаний Сияние;Полный день;Полная занятость;От 1 года до 3 лет;[]
Специалист по кадровому делопроизводству;https://hh.ru/vacancy/30990583;30990583;0;45000;Сити Сервис;Полный день;Полная занятость;От 1 года до 3 лет;[]
Стажёр Python/Go;https://hh.ru/vacancy/31306009;31306009;17000;17000;Selectel;Гибкий график;Стажировка;От 1 года до 3 лет;[{'name': 'Python'}, {'name': 'API'}, {'name': 'Git'}, {'name': 'CI/CD'}, {'name': 'Go'}, {'name': 'Golang'}, {'name': 'PostgreSQL'}, {'name': 'MySQL'}]
Техник;https://hh.ru/vacancy/31525027;31525027;40000;40000;ANY Group;Полный день;Полная занятость;От 1 года до 3 лет;[]
Фасовщик (ночные смены);https://hh.ru/vacancy/31316238;31316238;29000;29000;ANY Group;Полный день;Полная занятость;Нет опыта;[]
Медицинская сестра / ассистент;https://hh.ru/vacancy/31086698;31086698;86000;86000;Николь;Полный день;Полная занятость;Нет опыта;[]
Помощник программиста 1C\Администратор 1С;https://hh.ru/vacancy/28914073;28914073;34000;34000;АВТОПОЛЕ;Полный день;Полная занятость;Нет опыта;[]
Пиццер (any day cafe);https://hh.ru/vacancy/31525899;31525899;44000;44000;ANY Group;Полный день;Стажировка;Нет опыта;[]
Повар-бригадир (производство ANY);https://hh.ru/vacancy/31306201;31306201;57000;57000;ANY Group;Сменный график;Полная занятость;От 1 года до 3 лет;[]
Повар холодного цеха (ANY.pasta.pizza.bar);https://hh.ru/vacancy/31548170;31548170;45000;45000;ANY Group;Сменный график;Полная занятость;От 1 года до 3 лет;[]
